row_type,evidence_label,run_id,method_id,training_seed,observed_status,source_kind,raw_schema,checkpoint_sha256,evaluation_id,arm,episode_count,return_mean,normalized_score_mean,actuator_clip_fraction,command_at_bound_fraction,inverse_saturation_fraction,proposed_residual_abs_mean,applied_residual_abs_mean,total_environment_steps,evaluation_base_actor_forward_rows,evaluation_adapter_mlp_forward_rows,evaluation_controller_cost_scope,training_wall_time_seconds,training_wall_time_scope,training_invocation_count,training_preprocessing_seconds_this_invocation,training_preprocessing_time_scope,training_preprocessing_seconds_lifetime,training_preprocessing_seconds_lifetime_available,training_optimizer_seconds,training_optimizer_time_scope,training_q1_input_rows,training_base_actor_precompute_rows_per_invocation,training_base_actor_precompute_rows_lifetime,training_q_scale_q1_forward_rows_per_invocation,training_q_scale_q1_forward_rows_lifetime,training_optimizer_q1_forward_rows_lifetime,training_optimizer_q1_backward_rows_lifetime,training_optimizer_adapter_mlp_forward_rows_lifetime,training_optimizer_adapter_mlp_backward_rows_lifetime,training_total_q1_forward_rows_lifetime,training_frozen_q_scale,training_q_scale_method,training_resume_scope,evaluation_wall_time_seconds,evaluation_wall_time_scope,external_environment_steps,external_baseline_environment_steps,external_paired_evaluation_environment_steps,external_q1_forward_rows,external_q1_backward_rows,external_base_actor_rows,external_baseline_base_actor_rows,external_deployment_wall_time_seconds,external_baseline_wall_time_seconds,external_paired_evaluation_wall_time_seconds,external_cost_scope,audit_id,audit_noise_samples,audit_action_noise_beta,audit_physical_action_rows,audit_individual_critic_network_rows,audit_q1_gain_mean,audit_q1_gain_median,audit_q2_gain_mean,audit_q2_gain_median,audit_min_twin_gain_mean,audit_min_twin_gain_median,audit_baseline_twin_disagreement_mean,audit_baseline_twin_disagreement_median,audit_adapted_twin_disagreement_mean,audit_adapted_twin_disagreement_median,audit_twin_disagreement_change_mean,audit_twin_disagreement_change_median,audit_command_saturation_fraction,audit_proposed_residual_abs_mean,audit_proposed_residual_abs_median,comparison_id,comparison_group_id,is_primary_confirmation_comparison,target,reference,episode_pairs,positive_pairs,raw_mean_difference,raw_t_95ci_low,raw_t_95ci_high,raw_bootstrap_95ci_low,raw_bootstrap_95ci_high,normalized_mean_difference,normalized_t_95ci_low,normalized_t_95ci_high,normalized_bootstrap_95ci_low,normalized_bootstrap_95ci_high,statistical_unit,n_training_seeds,training_seeds,per_training_seed_values,descriptive_return_mean_across_training_seeds,descriptive_normalized_score_mean_across_training_seeds,descriptive_raw_mean_difference_across_training_seeds,descriptive_normalized_mean_difference_across_training_seeds,training_seed_confidence_interval,episode_returns_pooled_for_training_seed_inference,checkpoint_seeds,n_checkpoint_pipelines,per_checkpoint_mean_differences,mean_of_checkpoint_mean_differences,positive_checkpoint_count,training_seed_ci,inference_note,equivalence_check_id,equivalence_semantics,equivalence_episode_count,equivalence_status,equivalence_endpoints
training_run,confirmation,inverse_p001_k8_u5k_seed1,inverse_sampled_main,1,complete,,,,,,,,,,,,,,,,,,48.56943184300326,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,9.950293631001841,latest_invocation_only_not_lifetime,9.950293631001841,True,34.60141240770463,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.233381271362305,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_arm,confirmation,inverse_p001_k8_u5k_seed1,inverse_sampled_main,1,complete,,,,confirm_beta125,adapted,50,1425.9209614416445,31.025790258629023,0.3828603348713038,0.26510403064333593,0.36613127883694613,0.12922996358420616,0.10162078708240548,22974,22974,22974,per_rollout_arm_raw_length_derived,48.56943184300326,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,9.950293631001841,latest_invocation_only_not_lifetime,9.950293631001841,True,34.60141240770463,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.233381271362305,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,123.36814422201132,paired_evaluation_total_only_not_attributable_to_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_arm,confirmation,inverse_p001_k8_u5k_seed1,inverse_sampled_main,1,complete,,,,confirm_beta125,baseline_only,50,1023.1146665993869,22.251336686499503,0.38695573513448317,0.3569131186427049,0.3569131186427049,0.0,0.0,16582,16582,0,per_rollout_arm_raw_length_derived,48.56943184300326,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,9.950293631001841,latest_invocation_only_not_lifetime,9.950293631001841,True,34.60141240770463,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.233381271362305,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,123.36814422201132,paired_evaluation_total_only_not_attributable_to_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_arm,confirmation,inverse_p001_k8_u5k_seed1,inverse_sampled_main,1,complete,,,,confirm_clean,adapted,50,3471.3711024790055,75.58246061470321,0.0,0.23107124999119674,0.28431683251991297,0.15073567922084638,0.12212476544551305,47331,47331,47331,per_rollout_arm_raw_length_derived,48.56943184300326,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,9.950293631001841,latest_invocation_only_not_lifetime,9.950293631001841,True,34.60141240770463,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.233381271362305,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,292.29183849302353,paired_evaluation_total_only_not_attributable_to_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_arm,confirmation,inverse_p001_k8_u5k_seed1,inverse_sampled_main,1,complete,,,,confirm_clean,baseline_only,50,3737.6676652290485,81.38328065199424,0.0,0.30907304996030627,0.30907304996030627,0.0,0.0,49546,49546,0,per_rollout_arm_raw_length_derived,48.56943184300326,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,9.950293631001841,latest_invocation_only_not_lifetime,9.950293631001841,True,34.60141240770463,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.233381271362305,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,292.29183849302353,paired_evaluation_total_only_not_attributable_to_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q_audit,confirmation,inverse_p001_k8_u5k_seed1,inverse_sampled_main,1,complete,,,,,,,,,,,,,,,,,,48.56943184300326,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,9.950293631001841,latest_invocation_only_not_lifetime,9.950293631001841,True,34.60141240770463,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.233381271362305,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,,,,,,,,,,,,,,heldout_k64,64,1.25,12807680,25615360,0.24630107145355137,0.17719268798828125,0.22995744930926876,0.15929031372070312,0.23653143055546397,0.16724395751953125,0.6832605230910345,0.5011806488037109,0.6864561827484367,0.5020217895507812,0.0031956596573650565,-0.001129150390625,0.22939403024851757,0.12387516915154283,0.11474856734275818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
training_run,confirmation,inverse_p001_k8_u5k_seed10,inverse_sampled_main,10,complete,,,,,,,,,,,,,,,,,,50.896609721006826,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,10.048528306011576,latest_invocation_only_not_lifetime,10.048528306011576,True,36.814080939628184,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.35328483581543,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_arm,confirmation,inverse_p001_k8_u5k_seed10,inverse_sampled_main,10,complete,,,,confirm_beta125,adapted,50,1130.233443417026,24.584737991108597,0.3814326210204972,0.25753198139264427,0.35994512283762176,0.1253627834459287,0.10014987323458047,18344,18344,18344,per_rollout_arm_raw_length_derived,50.896609721006826,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,10.048528306011576,latest_invocation_only_not_lifetime,10.048528306011576,True,36.814080939628184,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.35328483581543,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,101.1919500020449,paired_evaluation_total_only_not_attributable_to_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_arm,confirmation,inverse_p001_k8_u5k_seed10,inverse_sampled_main,10,complete,,,,confirm_beta125,baseline_only,50,868.6581137036987,18.886762027046583,0.38548494675590517,0.35108903148646475,0.35108903148646475,0.0,0.0,14493,14493,0,per_rollout_arm_raw_length_derived,50.896609721006826,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,10.048528306011576,latest_invocation_only_not_lifetime,10.048528306011576,True,36.814080939628184,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.35328483581543,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,101.1919500020449,paired_evaluation_total_only_not_attributable_to_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluation_arm,confirmation,inverse_p001_k8_u5k_seed10,inverse_sampled_main,10,complete,,,,confirm_clean,adapted,50,3631.1597706561756,79.06318638345527,0.0,0.19503666666666666,0.26793333333333336,0.15424863931406682,0.13391242086544458,50000,50000,50000,per_rollout_arm_raw_length_derived,50.896609721006826,cumulative_across_resume_invocations_including_preprocessing_and_optimizer,1,10.048528306011576,latest_invocation_only_not_lifetime,10.048528306011576,True,36.814080939628184,cumulative_across_resume_invocations,20480000,899940,899940,32768,32768,20480000,10240000,1280000,1280000,20512768,23.35328483581543,frozen_std_of_declared_baseline_value_estimator_q1,state_complete_same_runtime_continuation; CPU bitwise regression verified; CUDA uninterrupted-versus-resumed bitwise equality unverified,292.819891600986,paired_evaluation_total_only_not_attributable_to_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
