nohup: ignoring input
2026-09-14T18:08:09Z run_id=driver stage=confirmation_block status=started
2026-09-14T18:08:09Z run_id=inverse_p001_k8_u5k_seed1 stage=training status=started
2026-09-14T18:09:00Z run_id=inverse_p001_k8_u5k_seed1 stage=training status=completed
2026-09-14T18:09:00Z run_id=inverse_p001_k8_u5k_seed1 stage=evaluation_confirm_beta125 status=started
2026-09-14T18:11:06Z run_id=inverse_p001_k8_u5k_seed1 stage=evaluation_confirm_beta125 status=completed
2026-09-14T18:11:06Z run_id=inverse_p001_k8_u5k_seed1 stage=evaluation_confirm_clean status=started
2026-09-14T18:16:00Z run_id=inverse_p001_k8_u5k_seed1 stage=evaluation_confirm_clean status=completed
2026-09-14T18:16:00Z run_id=inverse_p001_k8_u5k_seed1 stage=heldout_audit_k64 status=started
2026-09-14T18:16:08Z run_id=inverse_p001_k8_u5k_seed1 stage=heldout_audit_k64 status=completed
2026-09-14T18:16:08Z run_id=identity_p001_k8_u5k_seed1 stage=training status=started
2026-09-14T18:16:50Z run_id=identity_p001_k8_u5k_seed1 stage=training status=completed
2026-09-14T18:16:50Z run_id=identity_p001_k8_u5k_seed1 stage=evaluation_confirm_beta125 status=started
2026-09-14T18:17:26Z run_id=identity_p001_k8_u5k_seed1 stage=evaluation_confirm_beta125 status=completed
2026-09-14T18:17:26Z run_id=identity_p001_k8_u5k_seed1 stage=evaluation_confirm_clean status=started
2026-09-14T18:19:21Z run_id=identity_p001_k8_u5k_seed1 stage=evaluation_confirm_clean status=completed
2026-09-14T18:19:21Z run_id=identity_p001_k8_u5k_seed1 stage=heldout_audit_k64 status=started
2026-09-14T18:19:26Z run_id=identity_p001_k8_u5k_seed1 stage=heldout_audit_k64 status=completed
2026-09-14T18:19:26Z run_id=inverse_qmean_p001_k8_u5k_seed1 stage=training status=started
2026-09-14T18:20:25Z run_id=inverse_qmean_p001_k8_u5k_seed1 stage=training status=completed
2026-09-14T18:20:25Z run_id=inverse_qmean_p001_k8_u5k_seed1 stage=evaluation_confirm_beta125 status=started
2026-09-14T18:22:30Z run_id=inverse_qmean_p001_k8_u5k_seed1 stage=evaluation_confirm_beta125 status=completed
2026-09-14T18:22:30Z run_id=inverse_qmean_p001_k8_u5k_seed1 stage=heldout_audit_k64 status=started
2026-09-14T18:22:38Z run_id=inverse_qmean_p001_k8_u5k_seed1 stage=heldout_audit_k64 status=completed
2026-09-14T18:22:38Z run_id=identity_wide_p064_d2_k8_u5k_seed1 stage=training status=started
2026-09-14T18:23:22Z run_id=identity_wide_p064_d2_k8_u5k_seed1 stage=training status=completed
2026-09-14T18:23:22Z run_id=identity_wide_p064_d2_k8_u5k_seed1 stage=evaluation_confirm_beta125 status=started
2026-09-14T18:23:56Z run_id=identity_wide_p064_d2_k8_u5k_seed1 stage=evaluation_confirm_beta125 status=completed
2026-09-14T18:23:56Z run_id=identity_wide_p064_d2_k8_u5k_seed1 stage=heldout_audit_k64 status=started
2026-09-14T18:24:02Z run_id=identity_wide_p064_d2_k8_u5k_seed1 stage=heldout_audit_k64 status=completed
2026-09-14T18:24:02Z run_id=identity_nominal_beta0_p064_d2_k8_u5k_seed1 stage=training status=started
2026-09-14T18:24:32Z run_id=identity_nominal_beta0_p064_d2_k8_u5k_seed1 stage=training status=completed
2026-09-14T18:24:32Z run_id=identity_nominal_beta0_p064_d2_k8_u5k_seed1 stage=evaluation_confirm_beta125 status=started
2026-09-14T18:25:02Z run_id=identity_nominal_beta0_p064_d2_k8_u5k_seed1 stage=evaluation_confirm_beta125 status=completed
2026-09-14T18:25:02Z run_id=identity_nominal_beta0_p064_d2_k8_u5k_seed1 stage=heldout_audit_k64 status=started
2026-09-14T18:25:08Z run_id=identity_nominal_beta0_p064_d2_k8_u5k_seed1 stage=heldout_audit_k64 status=completed
2026-09-14T18:25:08Z run_id=inverse_p001_k8_u5k_seed10 stage=training status=started
2026-09-14T18:26:01Z run_id=inverse_p001_k8_u5k_seed10 stage=training status=completed
2026-09-14T18:26:01Z run_id=inverse_p001_k8_u5k_seed10 stage=evaluation_confirm_beta125 status=started
2026-09-14T18:27:44Z run_id=inverse_p001_k8_u5k_seed10 stage=evaluation_confirm_beta125 status=completed
2026-09-14T18:27:44Z run_id=inverse_p001_k8_u5k_seed10 stage=evaluation_confirm_clean status=started
2026-09-14T18:32:39Z run_id=inverse_p001_k8_u5k_seed10 stage=evaluation_confirm_clean status=completed
2026-09-14T18:32:39Z run_id=inverse_p001_k8_u5k_seed10 stage=heldout_audit_k64 status=started
2026-09-14T18:32:47Z run_id=inverse_p001_k8_u5k_seed10 stage=heldout_audit_k64 status=completed
2026-09-14T18:32:47Z run_id=identity_p001_k8_u5k_seed10 stage=training status=started
2026-09-14T18:33:30Z run_id=identity_p001_k8_u5k_seed10 stage=training status=completed
2026-09-14T18:33:30Z run_id=identity_p001_k8_u5k_seed10 stage=evaluation_confirm_beta125 status=started
2026-09-14T18:34:01Z run_id=identity_p001_k8_u5k_seed10 stage=evaluation_confirm_beta125 status=completed
2026-09-14T18:34:01Z run_id=identity_p001_k8_u5k_seed10 stage=evaluation_confirm_clean status=started
2026-09-14T18:35:58Z run_id=identity_p001_k8_u5k_seed10 stage=evaluation_confirm_clean status=completed
2026-09-14T18:35:58Z run_id=identity_p001_k8_u5k_seed10 stage=heldout_audit_k64 status=started
2026-09-14T18:36:04Z run_id=identity_p001_k8_u5k_seed10 stage=heldout_audit_k64 status=completed
2026-09-14T18:36:04Z run_id=inverse_qmean_p001_k8_u5k_seed10 stage=training status=started
2026-09-14T18:37:08Z run_id=inverse_qmean_p001_k8_u5k_seed10 stage=training status=completed
2026-09-14T18:37:08Z run_id=inverse_qmean_p001_k8_u5k_seed10 stage=evaluation_confirm_beta125 status=started
2026-09-14T18:39:05Z run_id=inverse_qmean_p001_k8_u5k_seed10 stage=evaluation_confirm_beta125 status=completed
2026-09-14T18:39:06Z run_id=inverse_qmean_p001_k8_u5k_seed10 stage=heldout_audit_k64 status=started
2026-09-14T18:39:14Z run_id=inverse_qmean_p001_k8_u5k_seed10 stage=heldout_audit_k64 status=completed
2026-09-14T18:39:14Z run_id=identity_wide_p064_d2_k8_u5k_seed10 stage=training status=started
2026-09-14T18:39:55Z run_id=identity_wide_p064_d2_k8_u5k_seed10 stage=training status=completed
2026-09-14T18:39:55Z run_id=identity_wide_p064_d2_k8_u5k_seed10 stage=evaluation_confirm_beta125 status=started
2026-09-14T18:40:25Z run_id=identity_wide_p064_d2_k8_u5k_seed10 stage=evaluation_confirm_beta125 status=completed
2026-09-14T18:40:25Z run_id=identity_wide_p064_d2_k8_u5k_seed10 stage=heldout_audit_k64 status=started
2026-09-14T18:40:30Z run_id=identity_wide_p064_d2_k8_u5k_seed10 stage=heldout_audit_k64 status=completed
2026-09-14T18:40:30Z run_id=identity_nominal_beta0_p064_d2_k8_u5k_seed10 stage=training status=started
